City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kendari,ID,2022-04-25 21:25:28,-3.945,122.4989,74.25,94,22,3.44
269,Ko Samui,TH,2022-04-25 21:26:28,9.5357,99.9357,84.9,72,78,8.81
270,Saint-Philippe,RE,2022-04-25 21:26:29,-21.3585,55.7679,74.79,79,90,15.28
271,Kristinehamn,SE,2022-04-25 21:26:29,59.3098,14.1081,48.76,71,59,6.67
272,Geraldton,AU,2022-04-25 21:26:29,-28.7667,114.6,68.41,73,100,12.66
273,Airai,TL,2022-04-25 21:26:29,-8.9266,125.4092,57.31,73,48,1.21
274,Namibe,AO,2022-04-25 21:26:30,-15.1961,12.1522,71.2,77,2,5.06
275,Sainte-Luce,MQ,2022-04-25 21:26:30,14.4673,-60.9271,80.55,78,100,10.36
276,Epe,NG,2022-04-25 21:26:30,6.5841,3.9834,79.74,87,19,5.57
277,Clyde River,CA,2022-04-25 21:24:26,70.4692,-68.5914,8.83,92,100,23.02
278,Launceston,AU,2022-04-25 21:26:31,-41.45,147.1667,53.15,93,100,3.44
279,Sharjah,AE,2022-04-25 21:22:30,25.3573,55.4033,87.78,57,0,3.44
280,Livingston,GB,2022-04-25 21:26:31,55.9029,-3.5226,46.8,86,0,8.05
281,Turayf,SA,2022-04-25 21:21:35,31.6725,38.6637,66.45,68,0,5.75
282,Charters Towers,AU,2022-04-25 21:26:32,-20.1,146.2667,68.95,96,100,15.59
283,Hualmay,PE,2022-04-25 21:26:32,-11.0964,-77.6139,70.21,77,100,10.11
284,Forestville,US,2022-04-25 21:26:32,38.8451,-76.875,73.22,65,75,9.22
285,Vao,NC,2022-04-25 21:21:43,-22.6667,167.4833,74.84,54,100,20.62
286,Longyearbyen,SJ,2022-04-25 21:26:33,78.2186,15.6401,3.04,55,40,16.11
287,Genhe,CN,2022-04-25 21:26:33,50.7833,121.5167,31.62,54,100,12.12
288,Saint-Joseph,RE,2022-04-25 21:26:33,-21.3667,55.6167,73.78,78,60,15.39
289,Okhotsk,RU,2022-04-25 21:26:34,59.3833,143.3,24.12,75,35,13.94
290,Hanmer Springs,NZ,2022-04-25 21:26:34,-42.5167,172.8167,53.15,71,23,1.05
291,Lodwar,KE,2022-04-25 21:26:34,3.1191,35.5973,77.56,71,96,17.16
292,Barmer,IN,2022-04-25 21:26:34,25.75,71.3833,81.36,43,0,10.11
293,Vila,PT,2022-04-25 21:26:35,42.0304,-8.1588,49.08,75,63,3.36
294,Evensk,RU,2022-04-25 21:26:35,61.95,159.2333,28.74,76,100,20.33
